Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,OMOP concept_name,domain_id,vocabulary_id,standard_concept,concept_code,concept_id
imp_hope_econ,impowr_study_admin_nm,,calc,Economic analysis: Yes,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_moud,impowr_study_admin_nm,,calc,MOUD: Buprenorphine,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_setting,impowr_study_admin_nm,,calc,Health Setting: OTP,"if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_sample,impowr_study_admin_nm,,calc,"Sample size: 45 providers/160 clients
","if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_hope_followup,impowr_study_admin_nm,,calc,"Follow-up: End of treatment, 6- and 12-months post-treatment","if([imp_nm_studyname] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_pop,impowr_study_admin_nm,,calc,Population: OUD/misuse; nonspecific CP,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_inter,impowr_study_admin_nm,,calc,Intervention: AI/AN culturally-adapted MI to increase screening/treatment initiation via academic detailing implementation strategy,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_sd,impowr_study_admin_nm,,calc,Study Design: Step Wedge Clustered RCT; Type III,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_if,impowr_study_admin_nm,,calc,Implementation Framework: RE-AIM & CFIR,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_econ,impowr_study_admin_nm,,calc,Economic analysis: yes,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_moud,impowr_study_admin_nm,,calc,MOUD: Dependent on access,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_setting,impowr_study_admin_nm,,calc,Health Setting: Primary Care,"if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_sample,impowr_study_admin_nm,,calc,"Sample size: 45 providers/225 clients
","if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
impowr_optic_followup,impowr_study_admin_nm,,calc,"Follow ups: 4-, 8- and 12-months post-baseline","if([imp_nm_studyname] = 2, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_studysite,impowr_study_adminhopkins,,radio,"The patient is enrolled in  ""Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder""","0, no | 1, yes",,,,,,,,,,,,,,,,,,
imp_jh_pop,impowr_study_adminhopkins,,calc,Population: OUD; nonspecific CP,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_inter,impowr_study_adminhopkins,,calc,Intervention: Standard vs split (2x/day) methadone dosing,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_sd,impowr_study_adminhopkins,,calc,Study design: 2 Arm RCT,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_if,impowr_study_adminhopkins,,calc,Implementation framework: none,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_econ,impowr_study_adminhopkins,,calc,Economic analysis: none,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_moud,impowr_study_adminhopkins,,calc,MOUD: Methadone,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_setting,impowr_study_adminhopkins,,calc,Setting: OTP,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_sample,impowr_study_adminhopkins,,calc,Sample size: 150,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_jh_followup,impowr_study_adminhopkins,,calc,Follow-up: 6 months,"if([imp_jh_studysite] = 1, 1, 0)",,,,,,,,,,,, @HIDDEN,,,,,,
imp_enroll_date,impowr_demographics,,text,Date of enrollment,,,date_mdy,,,,,,,,,,,,,,,,
impd_brthdtc,impowr_demographics,,text,What is your birth date? ,,,date_mdy,,,y,,,,,,,"C0421451, C0011292, @HIDEBUTTON",,,,,,
imp_age,impowr_demographics,,calc,Age (yrs),"datediff([impd_brthdtc], [imp_enroll_date], ""y"", ""mdy"")",,,,,,,,,,,, @HIDDEN,,,,,,
impd_ethnic,impowr_demographics,,radio,"Are you of Hispanic, Latino, or Spanish origin?","0, Not Hispanic or Latino | 1, Yes Hispanic or Latino | 2, Unknown | 3, Decline to answer",,,,,,,,,,,,"C0011292, C5441846","Hispanic or Latino
Not Hispanic or Latino
Unknown
Decline to answer","Ethnicity
Ethnicity
Meas Value
Meas Value","Ethnicity
Ethnicity
Meas Value
Meas Value","S
S
S
S","Hispanic
Not Hispanic
LA4489-6
LA27922-6","38003563
38003564
45877986
36210418"
impd_race,impowr_demographics,,checkbox,What is your race?,"1, White | 2, Black/African American | 3, American Indian or Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 6, Some other race | 7, Unknown | 8, Prefer not to answer",Select all that apply,,,,,,,,,,,C0011292,,,,,,
impdrace_white,impowr_demographics,,calc,White,"if([impd_race(1)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0007457",White,Race,Race,S,5,8527
impdrace_bl_aa,impowr_demographics,,calc,Black/African American,"if([impd_race(2)] = 1, 1, 0)",,,,,,,,,,,,"C0011292, C5441680, @HIDDEN",Black or African American,Race,Race,S,3,8516
impdrace_ai_an,impowr_demographics,,calc,American Indian or Alaska Native,"if([impd_race(3)] = 1, 1, 0)",,,,,,,,,,,,"C0011292, C1515945, @HIDDEN",American Indian or Alaska Native,Race,Race,S,1,8657
impdrace_asian,impowr_demographics,,calc,Asian,"if([impd_race(4)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0078988",Asian,Race,Race,S,2,8515
impdrace_nh_pi,impowr_demographics,,calc,Native Hawaiian or Other Pacific Islander,"if([impd_race(5)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C1513907",Native Hawaiian or Other Pacific Islander,Race,Race,S,4,8557
impdrace_other,impowr_demographics,,calc,Some other race,"if([impd_race(6)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292",Other Race,Race,Race,,9,8522
impdrace_unkn,impowr_demographics,,calc,Unknown,"if([impd_race(7)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292",Unknown,Race,Race,,UNK,8552
impdrace_not_rep,impowr_demographics,,calc,Prefer not to answer,"if([impd_race(8)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN,C0011292",Race not stated,Race,SNOMED, ,415226007,4190758
impdrace_othertxt,impowr_demographics,,text,"Some other race
(SPECIFY)",,,,,,,"[impdrace_other] = ""1""",,,,,,,,,,,,
impdgenid,impowr_demographics,,checkbox,Gender Identity - Do you think of yourself as . . .,"1, Male | 2, Female | 3, Transgender man/trans man/female-to-male (FTM) | 4, Transgender woman/trans woman/male-to-female (MTF) | 5, Genderqueer | 6, Nonbinary | 7, Agender | 8, Gender Fluid | 9, Some other gender | 10, Prefer not to answer",Select all that apply,,,,,,,,,,,C0011292,,,,,,
impdgenid01_male,impowr_demographics,,calc,Male,"if([impdgenid(1)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0086582",MALE,Gender,Gender,S,M,8507
impdgenid02_female,impowr_demographics,,calc,Female,"if([impdgenid(2)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0086287",FEMALE,Gender,Gender,S,F,8532
impdgenid03_transman,impowr_demographics,,calc,Transgender man/trans man/female-to-male (FTM),"if([impdgenid(3)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C1319928","Surgically transgendered transsexual, female-to-male",Gender,SNOMED,,407379008,4231242
impdgenid04_transwoman,impowr_demographics,,calc,Transgender woman/trans woman/male-to-female (MTF),"if([impdgenid(4)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C1319927","Surgically transgendered transsexual, male-to-female",Gender,SNOMED,,407378000,4251434
impdgenid05_genderqueer,impowr_demographics,,calc,Genderqueer,"if([impdgenid(5)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C3887376",Sexuality Closer Description: Queer,Observation,PPI,,SexualityCloserDescription_Queer,1585358
impdgenid06_nonbinary,impowr_demographics,,calc,Nonbinary,"if([impdgenid(6)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0563024",Non-binary gender,Gender,SNOMED,,772004004,36675593
impdgenid07_agender,impowr_demographics,,calc,Agender,"if([impdgenid(7)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0563024",Gender unspecified,Gender,SNOMED,,394744001,4215271
impdgenid08_genfluid,impowr_demographics,,calc,Gender Fluid,"if([impdgenid(8)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0563024",,,,,,
impdgenid09_other,impowr_demographics,,calc,Some other gender,"if([impdgenid(9)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0563024",OTHER,Gender,Gender,,O,8521
impdgenid10_not_rep,impowr_demographics,,calc,Prefer not to answer,"if([impdgenid(10)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292",Prefer not to say,Meas Value,LOINC,S,LA28803-7,36311156
impdgenid09_othertxt,impowr_demographics,,text,Please specify for gender category ,,,,,,,"[impdgenid09_other] = ""1""",,,,,,"C0563024, C0011292",,,,,,
impdsex,impowr_demographics,,radio,What was your sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, Unknown | 5, Other | 6, Prefer not to answer",,,,,,,,,,,,"C4019317, C0011292","Male
Female
Intersex
Unknown
Other
Declined to answer","Condition
Condition
Condition

Condition
Condition

","SNOMED
SNOMED
SNOMED

OncoTree
CIEL","S
S
S","248153007
248152002
32570691000036108

OTHER
162570
","442985
442986
46273637

777415
45922364"
impdsextxt,impowr_demographics,,text,"What was your sex assigned at birth?
Other (specify)",,,,,,,[impdsex] = '5',,,,,,"C0011292, C4019317",,,,,,
imp_sexual,impowr_demographics,,checkbox,Sexual Orientation- Do you think of yourself as... ,"1, Straight or heterosexual | 2, Lesbian or gay | 3, Bisexual | 4, Queer | 5, Pansexual | 6, Questioning | 7, Asexual | 8, Something else | 9, Prefer not to answer",Select all that apply,,,,,,,,,,,"C0011292, C0205949",,,,,,
impd_straight,impowr_demographics,,calc,Straight or heterosexual,"if([imp_sexual(1)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0205949, C0011292, C2129309",Sexuality Closer Description: Mostly Straight,Observation,PPI,S,SexualityCloserDescription_MostlyStraight,1585363
impd_lesbiangay,impowr_demographics,,calc,Lesbian or gay,"if([imp_sexual(2)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0019900, C0205949",,,,,,
impd_bisexual,impowr_demographics,,calc,Bisexual,"if([imp_sexual(3)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C2129310, C0205949",Sexuality Closer Description: Two Spirit,Observation,PPI,S,SexualityCloserDescription_TwoSpirit,1585361
impd_queer,impowr_demographics,,calc,Queer,"if([imp_sexual(4)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0205949, C4722209",Sexuality Closer Description: Queer,Observation,PPI,S,SexualityCloserDescription_Queer,1585358
impd_pansexual,impowr_demographics,,calc,Pansexual,"if([imp_sexual(5)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0205949, C4700339",Sexuality Closer Description: Poly Omni Sapio Pansexual,Observation,PPI,S,SexualityCloserDescription_PolyOmniSapioPansexual,1585359
impd_questioning,impowr_demographics,,calc,Questioning,"if([imp_sexual(6)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C4061204, C0205949",Sexuality Closer Description: Not Figured Out,Observation,PPI,S,SexualityCloserDescription_NotFiguredOut,
impd_asexual,impowr_demographics,,calc,Asexual,"if([imp_sexual(7)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C4707386, C0205949",Sexuality Closer Description: Asexual,Observation,PPI,S,SexualityCloserDescription_Asexual,1585360
impd_orientationother,impowr_demographics,,calc,Something else,"if([imp_sexual(8)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0205949",Sexuality Closer Description: Something Else,Observation,PPI,(null),SexualityCloserDescription_SomethingElse,1585366
impd_orientation_not_rep,impowr_demographics,,calc,Prefer not to answer,"if([imp_sexual(9)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0205949",Sexuality Closer Description: Dont Know,Observation,PPI,(null),SexualityCloserDescription_DontKnow,
impd_orientationothertxt,impowr_demographics,,text,Something else (specify),,,,,,,[impd_orientationother] = '1',,,,,,"C0205949, C0011292",,,,,,
impd_pregnant,impowr_demographics,,yesno,Are you currently pregnant?,,,,,,,,,,,,,"C0552579, C0011292","1 Pregnancy Status: No
1 Pregnancy Status: Yes","Observation
Observation","PPI
PPI",,"1PregnancyStatus_No
1PregnancyStatus_Yes","1585813
1585812"
imp_relat,impowr_demographics,,checkbox,"What category best describes your current relationship
status?","1, Divorced | 2, Married | 3, Never married | 4, Separated | 5, Widowed | 6, Domestic partner | 7, Prefer not to answer",Select all that apply,,,,,,,,,,,"C0011292, C0024819",,,,,,
impd_divorced,impowr_demographics,,calc,Divorced,"if([imp_relat(1)] = 1, 1, 0)",,,,,,,,,,,," @HIDDEN, C0011292, C0024819, C0086170",Divorced,Observation,SNOMED,S,20295000,4069297
